"Intelipost Pickup","Intelipost - Retira em Loja"
"Intelipost Pickup Items","Intelipost - Itens do Retira em Loja"
"Intelipost Pickup Stores","Intelipost - Lojas do Retira em Loja"
"Pickup","Retira em Loja"
"Stores","Lojas"
"Manage Stores","Gerenciar Lojas"
"Store ID","ID da Loja"
"New Store","Nova Loja"
"Store Information","Informação da Loja"
"Name","Nome"
"Address","Endereço"
"Number","Número"
"City","Cidade"
"Opening","Horário de Funcionamento"
"Begin Zipcode","CEP Inicial"
"End Zipcode","CEP Final"
"Observations","Observações"
"Items","Itens"
"Manage Items","Gerenciar Itens"
"Item ID","ID do Item"
"Store","Loja"
"Departure Date","Data de Saída"
"Arrival Date","Data de Chegada"
"Operation Time","Tempo de Operação"
"Add New Item","Adicionar Novo Item"
"New Item","Novo Item"
"Item Information","Informação do Item"
"Back","Voltar"
"Reset","Reiniciar"
"Save Item","Salvar Item"
"Save and Continue Edit","Salvar e Continuar Editando"
"Delete Item","Excluir Item"
"You saved the item.","Você salvou o item."
"Additional SLA","SLA Adicional"
"Display Mode","Modo de Exibição"
"Is Active","Ativo"
"Delivered by CDG","Entregue pelo CDG"
"Store Zipcode","CEP da Loja"
"Complement","Complemento"
"State","Estado"
"Show All Stores","Exibir Todas as Lojas"
"Sort By Proximity","Ordernar por Proximidade"
"Date Format","Format da Data"
"Store Neighborhood","Bairro"
